CustomerID,ItemID,Quantity,PurchaseDate,ItemName,ItemCategory,ItemSubcategory,UnitPrice,TotalPrice,PreferredItem,CustomerSegment,EmployeeID
Cust0312,Item0012,1,2023-03-24,Perm,Service,Styling,94.38,94.38,Hair Extensions (Removal),Occasional,Emp04
Cust0277,Item0037,1,2023-11-03,Moisturizer,Product,Skincare,45.35,45.35,Texturizing Spray,Occasional,
Cust0166,Item0004,1,2023-07-05,Hair Coloring (Full),Service,Coloring,94.74,94.74,Hair Styling (Blowout),Occasional,Emp09
Cust0450,Item0030,1,2023-01-30,Styling Gel,Product,Styling,29.5,29.5,Styling Mousse,Regular,
Cust0124,Item0023,1,2023-09-06,Shampoo (Color-Safe),Product,Shampoo,30.23,30.23,Conditioner (Color-Safe),Occasional,
Cust0418,Item0018,1,2023-03-06,Waxing (Eyebrows),Service,Waxing,50.42,50.42,Makeup Application,Occasional,Emp01
Cust0066,Item0018,1,2023-03-26,Waxing (Eyebrows),Service,Waxing,37.66,37.66,Balayage,Occasional,Emp10
Cust0136,Item0020,1,2023-08-05,Waxing (Bikini),Service,Waxing,21.21,21.21,Makeup Application,Occasional,Emp07
Cust0494,Item0018,1,2023-12-20,Waxing (Eyebrows),Service,Waxing,46.14,46.14,Haircut (Men's),Regular,Emp07
Cust0103,Item0033,3,2023-11-29,Heat Protectant Spray,Product,Styling Products,25.62,76.86,Shampoo (Moisturizing),New,
Cust0192,Item0017,1,2023-08-20,Facial,Service,Facial,132.32,132.32,Relaxer,Regular,Emp05
Cust0062,Item0003,1,2023-06-23,Haircut (Children's),Service,Haircut,47.61,47.61,Hair Styling (Updo),Occasional,Emp02
Cust0011,Item0008,1,2023-10-29,Hair Treatment (Deep Conditioning),Service,Treatment,85.85,85.85,Haircut (Men's),Regular,Emp05
Cust0113,Item0002,1,2023-04-28,Haircut (Men's),Service,Haircut,68.29,68.29,Waxing (Eyebrows),Regular,Emp08
Cust0035,Item0031,1,2023-09-21,Styling Mousse,Product,Styling,36.8,36.8,Sunscreen,Occasional,
Cust0122,Item0016,1,2023-04-20,Makeup Application,Service,Makeup,77.87,77.87,Waxing (Bikini),New,Emp06
Cust0277,Item0019,1,2023-10-23,Waxing (Legs),Service,Waxing,24.64,24.64,Perm,Occasional,Emp04
Cust0243,Item0016,1,2023-07-28,Makeup Application,Service,Makeup,53.16,53.16,Haircut (Men's),Regular,Emp04
Cust0098,Item0014,1,2023-07-01,Hair Extensions (Installation),Service,Styling,106.52,106.52,Hair Styling (Updo),Regular,Emp07
Cust0217,Item0002,1,2023-12-11,Haircut (Men's),Service,Haircut,45.3,45.3,Hair Coloring (Full),Regular,Emp10
Cust0335,Item0024,1,2023-07-26,Conditioner (Volume),Product,Conditioner,29.19,29.19,Styling Mousse,Regular,
Cust0373,Item0004,1,2023-05-08,Hair Coloring (Full),Service,Coloring,176.91,176.91,Facial,Occasional,Emp06
Cust0099,Item0015,1,2023-03-13,Hair Extensions (Removal),Service,Styling,81.39,81.39,Hair Treatment (Deep Conditioning),Regular,Emp03
Cust0217,Item0015,1,2023-05-08,Hair Extensions (Removal),Service,Styling,100.15,100.15,Hair Coloring (Full),Regular,Emp05
Cust0448,Item0035,3,2023-02-20,Makeup Remover,Product,Makeup,38.81,116.43,Heat Protectant Spray,New,
Cust0026,Item0018,1,2023-01-08,Waxing (Eyebrows),Service,Waxing,56.78,56.78,Hair Treatment (Keratin),Regular,Emp08
Cust0497,Item0008,1,2023-03-27,Hair Treatment (Deep Conditioning),Service,Treatment,60.05,60.05,Hair Extensions (Installation),Regular,Emp05
Cust0209,Item0007,1,2023-07-25,Balayage,Service,Coloring,97.19,97.19,Waxing (Eyebrows),Occasional,Emp07
Cust0463,Item0013,1,2023-01-02,Relaxer,Service,Styling,96.29,96.29,Hair Treatment (Keratin),Regular,Emp07
Cust0200,Item0015,1,2023-05-27,Hair Extensions (Removal),Service,Styling,56.69,56.69,Perm,New,Emp06
Cust0217,Item0018,1,2023-12-05,Waxing (Eyebrows),Service,Waxing,32.2,32.2,Hair Coloring (Full),Regular,Emp04
Cust0368,Item0007,1,2023-06-01,Balayage,Service,Coloring,81.41,81.41,Hair Styling (Blowout),Occasional,Emp06
Cust0112,Item0039,3,2023-10-05,Toner,Product,Skincare,33.59,100.77000000000001,Texturizing Spray,Regular,
Cust0032,Item0022,1,2023-10-27,Shampoo (Moisturizing),Product,Shampoo,21.58,21.58,Makeup Remover,Occasional,
Cust0245,Item0017,1,2023-03-22,Facial,Service,Facial,82.78,82.78,Waxing (Eyebrows),Regular,Emp04
Cust0030,Item0023,1,2023-02-05,Shampoo (Color-Safe),Product,Shampoo,38.0,38.0,Face Wash,Regular,
Cust0305,Item0008,1,2023-07-26,Hair Treatment (Deep Conditioning),Service,Treatment,70.6,70.6,Hair Styling (Updo),Occasional,Emp09
Cust0062,Item0039,1,2023-10-24,Toner,Product,Skincare,28.37,28.37,Texturizing Spray,Occasional,
Cust0305,Item0003,1,2023-08-03,Haircut (Children's),Service,Haircut,57.82,57.82,Hair Styling (Updo),Occasional,Emp10
Cust0337,Item0017,1,2023-06-11,Facial,Service,Facial,92.02,92.02,Hair Extensions (Installation),New,Emp07
Cust0479,Item0011,1,2023-05-03,Hair Styling (Blowout),Service,Styling,100.14,100.14,Waxing (Bikini),Regular,Emp03
Cust0136,Item0010,1,2023-08-23,Hair Styling (Updo),Service,Styling,40.04,40.04,Makeup Application,Occasional,Emp10
Cust0162,Item0023,1,2023-08-23,Shampoo (Color-Safe),Product,Shampoo,39.03,39.03,Conditioner (Moisturizing),Regular,
Cust0319,Item0024,1,2023-10-03,Conditioner (Volume),Product,Conditioner,38.8,38.8,Toner,New,
Cust0110,Item0005,1,2023-06-28,Hair Coloring (Roots),Service,Coloring,169.01,169.01,Hair Treatment (Keratin),Occasional,Emp09
Cust0452,Item0008,1,2023-07-09,Hair Treatment (Deep Conditioning),Service,Treatment,48.61,48.61,Hair Treatment (Deep Conditioning),Occasional,Emp06
Cust0146,Item0018,1,2023-12-27,Waxing (Eyebrows),Service,Waxing,30.01,30.01,Haircut (Children's),Occasional,Emp04
Cust0155,Item0017,1,2023-01-05,Facial,Service,Facial,125.74,125.74,Hair Treatment (Deep Conditioning),Regular,Emp03
Cust0342,Item0030,3,2023-02-23,Styling Gel,Product,Styling,19.12,57.36,Styling Gel,Occasional,
Cust0481,Item0029,1,2023-02-24,Hair Spray,Product,Styling Products,16.23,16.23,Makeup Remover,Regular,
Cust0381,Item0009,1,2023-05-25,Hair Treatment (Keratin),Service,Treatment,60.51,60.51,Balayage,Regular,Emp05
Cust0310,Item0011,1,2023-04-15,Hair Styling (Blowout),Service,Styling,148.35,148.35,Haircut (Women's),Occasional,Emp04
Cust0352,Item0009,1,2023-09-16,Hair Treatment (Keratin),Service,Treatment,57.66,57.66,Waxing (Legs),Regular,Emp07
Cust0251,Item0002,1,2023-02-17,Haircut (Men's),Service,Haircut,29.08,29.08,Makeup Application,Regular,Emp08
Cust0325,Item0009,1,2023-01-23,Hair Treatment (Keratin),Service,Treatment,99.13,99.13,Haircut (Children's),Occasional,Emp10
Cust0002,Item0005,1,2023-11-23,Hair Coloring (Roots),Service,Coloring,133.81,133.81,Hair Treatment (Keratin),Occasional,Emp03
Cust0135,Item0015,1,2023-10-10,Hair Extensions (Removal),Service,Styling,106.21,106.21,Makeup Application,Occasional,Emp05
Cust0362,Item0001,1,2023-02-27,Haircut (Women's),Service,Haircut,24.09,24.09,Balayage,Occasional,Emp02
Cust0039,Item0025,3,2023-01-19,Conditioner (Moisturizing),Product,Conditioner,10.66,31.98,Heat Protectant Spray,New,
Cust0428,Item0018,1,2023-03-17,Waxing (Eyebrows),Service,Waxing,51.65,51.65,Waxing (Legs),New,Emp06
Cust0221,Item0010,1,2023-07-06,Hair Styling (Updo),Service,Styling,49.81,49.81,Haircut (Women's),Occasional,Emp08
Cust0461,Item0022,2,2023-04-18,Shampoo (Moisturizing),Product,Shampoo,12.22,24.44,Makeup Remover,Regular,
Cust0350,Item0004,1,2023-07-01,Hair Coloring (Full),Service,Coloring,199.82,199.82,Balayage,Occasional,Emp02
Cust0400,Item0014,1,2023-11-14,Hair Extensions (Installation),Service,Styling,52.42,52.42,Haircut (Men's),Occasional,Emp03
Cust0384,Item0008,1,2023-03-25,Hair Treatment (Deep Conditioning),Service,Treatment,92.72,92.72,Relaxer,Regular,Emp08
Cust0500,Item0026,2,2023-01-13,Conditioner (Color-Safe),Product,Conditioner,39.83,79.66,Sunscreen,New,
Cust0092,Item0031,2,2023-12-09,Styling Mousse,Product,Styling,19.93,39.86,Hair Mask,Regular,
Cust0443,Item0028,2,2023-03-23,Hair Serum,Product,Treatment Products,46.45,92.9,Sunscreen,Regular,
Cust0404,Item0033,1,2023-08-29,Heat Protectant Spray,Product,Styling Products,44.61,44.61,Moisturizer,Occasional,
Cust0114,Item0015,1,2023-06-29,Hair Extensions (Removal),Service,Styling,110.41,110.41,Haircut (Men's),New,Emp07
Cust0157,Item0028,1,2023-01-13,Hair Serum,Product,Treatment Products,26.53,26.53,Shampoo (Color-Safe),New,
Cust0338,Item0011,1,2023-05-23,Hair Styling (Blowout),Service,Styling,130.28,130.28,Haircut (Men's),Regular,Emp04
Cust0443,Item0009,1,2023-06-29,Hair Treatment (Keratin),Service,Treatment,44.32,44.32,Waxing (Legs),Regular,Emp09
Cust0329,Item0018,1,2023-06-19,Waxing (Eyebrows),Service,Waxing,30.37,30.37,Haircut (Children's),Occasional,Emp04
Cust0481,Item0009,1,2023-04-02,Hair Treatment (Keratin),Service,Treatment,46.29,46.29,Facial,Regular,Emp06
Cust0298,Item0029,1,2023-02-25,Hair Spray,Product,Styling Products,29.25,29.25,Texturizing Spray,Occasional,
Cust0306,Item0011,1,2023-08-12,Hair Styling (Blowout),Service,Styling,84.84,84.84,Waxing (Eyebrows),Regular,Emp05
Cust0311,Item0024,2,2023-10-23,Conditioner (Volume),Product,Conditioner,10.01,20.02,Hair Spray,Regular,
Cust0098,Item0014,1,2023-01-01,Hair Extensions (Installation),Service,Styling,60.52,60.52,Hair Styling (Updo),Regular,Emp04
Cust0267,Item0038,3,2023-12-10,Sunscreen,Product,Skincare,28.67,86.01,Shampoo (Color-Safe),Regular,
Cust0101,Item0003,1,2023-12-07,Haircut (Children's),Service,Haircut,75.1,75.1,Haircut (Children's),Occasional,Emp05
Cust0472,Item0011,1,2023-12-06,Hair Styling (Blowout),Service,Styling,75.33,75.33,Hair Treatment (Keratin),Regular,Emp07
Cust0435,Item0010,1,2023-09-17,Hair Styling (Updo),Service,Styling,96.21,96.21,Hair Coloring (Roots),Regular,Emp09
Cust0159,Item0011,1,2023-07-26,Hair Styling (Blowout),Service,Styling,84.07,84.07,Makeup Application,Occasional,Emp06
Cust0357,Item0005,1,2023-04-09,Hair Coloring (Roots),Service,Coloring,169.17,169.17,Hair Treatment (Keratin),Regular,Emp09
Cust0216,Item0013,1,2023-12-13,Relaxer,Service,Styling,117.04,117.04,Waxing (Legs),Regular,Emp07
Cust0384,Item0039,2,2023-07-27,Toner,Product,Skincare,65.05,130.1,Styling Gel,Regular,
Cust0281,Item0030,2,2023-04-18,Styling Gel,Product,Styling,24.41,48.82,Moisturizer,Regular,
Cust0221,Item0031,2,2023-08-15,Styling Mousse,Product,Styling,48.25,96.5,Styling Mousse,Occasional,
Cust0227,Item0017,1,2023-08-31,Facial,Service,Facial,130.04,130.04,Hair Treatment (Keratin),Occasional,Emp04
Cust0407,Item0026,3,2023-02-13,Conditioner (Color-Safe),Product,Conditioner,24.87,74.61,Hair Spray,Regular,
Cust0146,Item0020,1,2023-06-21,Waxing (Bikini),Service,Waxing,23.11,23.11,Haircut (Children's),Occasional,Emp10
Cust0048,Item0028,3,2023-06-08,Hair Serum,Product,Treatment Products,44.65,133.95,Shampoo (Color-Safe),Regular,
Cust0116,Item0025,1,2023-01-24,Conditioner (Moisturizing),Product,Conditioner,22.87,22.87,Conditioner (Moisturizing),Occasional,
Cust0126,Item0023,2,2023-08-01,Shampoo (Color-Safe),Product,Shampoo,29.51,59.02,Toner,Regular,
Cust0454,Item0007,1,2023-12-23,Balayage,Service,Coloring,182.23,182.23,Hair Styling (Blowout),New,Emp01
Cust0197,Item0008,1,2023-03-17,Hair Treatment (Deep Conditioning),Service,Treatment,78.79,78.79,Hair Treatment (Deep Conditioning),New,Emp07
Cust0336,Item0004,1,2023-08-06,Hair Coloring (Full),Service,Coloring,98.3,98.3,Hair Styling (Blowout),Regular,Emp02
Cust0113,Item0017,1,2023-08-26,Facial,Service,Facial,133.02,133.02,Waxing (Eyebrows),Regular,Emp07
Cust0026,Item0004,1,2023-08-22,Hair Coloring (Full),Service,Coloring,118.29,118.29,Hair Treatment (Keratin),Regular,Emp09
Cust0069,Item0037,3,2023-11-01,Moisturizer,Product,Skincare,61.48,184.44,Texturizing Spray,Regular,
Cust0163,Item0035,3,2023-09-16,Makeup Remover,Product,Makeup,28.8,86.4,Hair Mask,Regular,
Cust0219,Item0038,2,2023-03-23,Sunscreen,Product,Skincare,55.72,111.44,Styling Mousse,Occasional,
Cust0381,Item0035,2,2023-05-07,Makeup Remover,Product,Makeup,45.86,91.72,Makeup Remover,Regular,
Cust0431,Item0017,1,2023-09-06,Facial,Service,Facial,144.51,144.51,Hair Treatment (Keratin),Regular,Emp03
Cust0321,Item0015,1,2023-02-09,Hair Extensions (Removal),Service,Styling,47.19,47.19,Perm,Regular,Emp05
Cust0366,Item0009,1,2023-06-21,Hair Treatment (Keratin),Service,Treatment,66.11,66.11,Waxing (Legs),Occasional,Emp10
Cust0164,Item0023,1,2023-03-19,Shampoo (Color-Safe),Product,Shampoo,31.01,31.01,Makeup Remover,Occasional,
Cust0119,Item0005,1,2023-12-28,Hair Coloring (Roots),Service,Coloring,143.24,143.24,Highlights,New,Emp08
Cust0110,Item0014,1,2023-06-19,Hair Extensions (Installation),Service,Styling,103.06,103.06,Hair Treatment (Keratin),Occasional,Emp10
Cust0278,Item0002,1,2023-04-16,Haircut (Men's),Service,Haircut,52.8,52.8,Perm,Regular,Emp04
Cust0427,Item0019,1,2023-12-23,Waxing (Legs),Service,Waxing,12.09,12.09,Balayage,Occasional,Emp10
Cust0011,Item0039,2,2023-09-02,Toner,Product,Skincare,44.76,89.52,Hair Mask,Regular,
Cust0004,Item0030,2,2023-08-03,Styling Gel,Product,Styling,46.3,92.6,Hair Serum,Occasional,
Cust0276,Item0038,3,2023-04-23,Sunscreen,Product,Skincare,15.16,45.480000000000004,Moisturizer,Regular,
Cust0250,Item0014,1,2023-09-06,Hair Extensions (Installation),Service,Styling,84.08,84.08,Perm,New,Emp10
Cust0015,Item0013,1,2023-03-26,Relaxer,Service,Styling,131.67,131.67,Haircut (Men's),Regular,Emp09
Cust0431,Item0005,1,2023-11-15,Hair Coloring (Roots),Service,Coloring,80.36,80.36,Hair Treatment (Keratin),Regular,Emp02
Cust0274,Item0013,1,2023-10-31,Relaxer,Service,Styling,69.86,69.86,Waxing (Eyebrows),Occasional,Emp07
Cust0289,Item0003,1,2023-11-26,Haircut (Children's),Service,Haircut,46.57,46.57,Perm,Regular,Emp02
Cust0220,Item0015,1,2023-04-04,Hair Extensions (Removal),Service,Styling,85.51,85.51,Hair Treatment (Deep Conditioning),Regular,Emp06
Cust0026,Item0011,1,2023-04-19,Hair Styling (Blowout),Service,Styling,133.26,133.26,Hair Treatment (Keratin),Regular,Emp04
Cust0233,Item0013,1,2023-05-23,Relaxer,Service,Styling,51.5,51.5,Waxing (Legs),Regular,Emp09
Cust0386,Item0034,2,2023-02-11,Texturizing Spray,Product,Styling Products,21.79,43.58,Texturizing Spray,Occasional,
Cust0241,Item0018,1,2023-01-27,Waxing (Eyebrows),Service,Waxing,26.32,26.32,Relaxer,New,Emp02
Cust0488,Item0003,1,2023-11-30,Haircut (Children's),Service,Haircut,31.08,31.08,Haircut (Children's),Regular,Emp02
Cust0021,Item0028,1,2023-01-11,Hair Serum,Product,Treatment Products,35.78,35.78,Hair Mask,Regular,
Cust0319,Item0005,1,2023-08-31,Hair Coloring (Roots),Service,Coloring,112.71,112.71,Perm,New,Emp07
Cust0343,Item0007,1,2023-08-27,Balayage,Service,Coloring,97.1,97.1,Haircut (Men's),Regular,Emp09
Cust0359,Item0012,1,2023-03-27,Perm,Service,Styling,86.44,86.44,Relaxer,Occasional,Emp04
Cust0311,Item0004,1,2023-03-25,Hair Coloring (Full),Service,Coloring,152.84,152.84,Hair Styling (Updo),Regular,Emp08
Cust0494,Item0019,1,2023-01-14,Waxing (Legs),Service,Waxing,40.87,40.87,Haircut (Men's),Regular,Emp02
Cust0476,Item0013,1,2023-07-23,Relaxer,Service,Styling,140.67,140.67,Hair Styling (Updo),Regular,Emp01
Cust0483,Item0023,3,2023-12-20,Shampoo (Color-Safe),Product,Shampoo,30.97,92.91,Sunscreen,Regular,
Cust0426,Item0004,1,2023-12-23,Hair Coloring (Full),Service,Coloring,141.45,141.45,Hair Coloring (Roots),Regular,Emp04
Cust0396,Item0020,1,2023-03-03,Waxing (Bikini),Service,Waxing,44.82,44.82,Waxing (Eyebrows),Regular,Emp01
Cust0408,Item0022,2,2023-09-30,Shampoo (Moisturizing),Product,Shampoo,26.49,52.98,Conditioner (Volume),Occasional,
Cust0220,Item0003,1,2023-09-17,Haircut (Children's),Service,Haircut,38.7,38.7,Hair Treatment (Deep Conditioning),Regular,Emp08
Cust0332,Item0014,1,2023-09-08,Hair Extensions (Installation),Service,Styling,95.74,95.74,Haircut (Children's),New,Emp04
Cust0055,Item0012,1,2023-11-22,Perm,Service,Styling,102.39,102.39,Relaxer,New,Emp08
Cust0457,Item0025,2,2023-04-01,Conditioner (Moisturizing),Product,Conditioner,30.66,61.32,Texturizing Spray,Regular,
Cust0376,Item0009,1,2023-11-12,Hair Treatment (Keratin),Service,Treatment,90.67,90.67,Relaxer,Regular,Emp03
Cust0414,Item0036,2,2023-08-12,Face Wash,Product,Skincare,33.0,66.0,Conditioner (Color-Safe),Occasional,
Cust0423,Item0029,2,2023-05-06,Hair Spray,Product,Styling Products,32.65,65.3,Texturizing Spray,Occasional,
Cust0426,Item0029,2,2023-05-05,Hair Spray,Product,Styling Products,44.37,88.74,Moisturizer,Regular,
Cust0385,Item0020,1,2023-12-09,Waxing (Bikini),Service,Waxing,50.18,50.18,Hair Coloring (Full),Regular,Emp07
Cust0195,Item0016,1,2023-06-16,Makeup Application,Service,Makeup,53.45,53.45,Relaxer,Regular,Emp01
Cust0094,Item0012,1,2023-05-13,Perm,Service,Styling,53.65,53.65,Waxing (Bikini),Regular,Emp08
Cust0175,Item0020,1,2023-12-26,Waxing (Bikini),Service,Waxing,16.74,16.74,Haircut (Children's),Occasional,Emp03
Cust0451,Item0001,1,2023-09-22,Haircut (Women's),Service,Haircut,55.95,55.95,Highlights,New,Emp01
Cust0486,Item0008,1,2023-07-28,Hair Treatment (Deep Conditioning),Service,Treatment,42.64,42.64,Hair Styling (Blowout),Regular,Emp02
Cust0251,Item0008,1,2023-12-20,Hair Treatment (Deep Conditioning),Service,Treatment,89.14,89.14,Makeup Application,Regular,Emp05
Cust0244,Item0016,1,2023-08-18,Makeup Application,Service,Makeup,104.67,104.67,Waxing (Bikini),Occasional,Emp09
Cust0406,Item0010,1,2023-04-24,Hair Styling (Updo),Service,Styling,149.42,149.42,Waxing (Eyebrows),Occasional,Emp10
Cust0208,Item0010,1,2023-12-06,Hair Styling (Updo),Service,Styling,67.1,67.1,Waxing (Bikini),Regular,Emp07
Cust0298,Item0018,1,2023-09-29,Waxing (Eyebrows),Service,Waxing,56.44,56.44,Relaxer,Occasional,Emp08
Cust0177,Item0018,1,2023-06-19,Waxing (Eyebrows),Service,Waxing,54.46,54.46,Hair Styling (Updo),Regular,Emp09
Cust0181,Item0029,2,2023-05-09,Hair Spray,Product,Styling Products,16.33,32.66,Dry Shampoo,Occasional,
Cust0119,Item0007,1,2023-06-11,Balayage,Service,Coloring,75.87,75.87,Highlights,New,Emp01
Cust0062,Item0026,1,2023-04-21,Conditioner (Color-Safe),Product,Conditioner,24.23,24.23,Texturizing Spray,Occasional,
Cust0379,Item0019,1,2023-09-26,Waxing (Legs),Service,Waxing,31.12,31.12,Relaxer,Occasional,Emp09
Cust0306,Item0004,1,2023-04-10,Hair Coloring (Full),Service,Coloring,161.95,161.95,Waxing (Eyebrows),Regular,Emp03
Cust0152,Item0006,1,2023-06-04,Highlights,Service,Coloring,91.79,91.79,Waxing (Bikini),Occasional,Emp07
Cust0008,Item0025,2,2023-01-24,Conditioner (Moisturizing),Product,Conditioner,27.88,55.76,Heat Protectant Spray,Regular,
Cust0499,Item0010,1,2023-12-24,Hair Styling (Updo),Service,Styling,122.8,122.8,Waxing (Bikini),Regular,Emp05
Cust0484,Item0016,1,2023-02-22,Makeup Application,Service,Makeup,88.87,88.87,Haircut (Women's),New,Emp10
Cust0447,Item0010,1,2023-08-29,Hair Styling (Updo),Service,Styling,83.44,83.44,Hair Extensions (Removal),Regular,Emp04
Cust0246,Item0006,1,2023-01-27,Highlights,Service,Coloring,118.97,118.97,Hair Extensions (Installation),Regular,Emp02
Cust0130,Item0036,1,2023-02-03,Face Wash,Product,Skincare,28.67,28.67,Styling Mousse,Occasional,
Cust0206,Item0019,1,2023-11-19,Waxing (Legs),Service,Waxing,58.79,58.79,Hair Treatment (Keratin),Regular,Emp03
Cust0352,Item0005,1,2023-10-16,Hair Coloring (Roots),Service,Coloring,150.67,150.67,Waxing (Legs),Regular,Emp02
Cust0486,Item0008,1,2023-03-02,Hair Treatment (Deep Conditioning),Service,Treatment,37.0,37.0,Hair Styling (Blowout),Regular,Emp05
Cust0286,Item0028,3,2023-07-14,Hair Serum,Product,Treatment Products,43.17,129.51,Shampoo (Color-Safe),New,
Cust0231,Item0030,3,2023-08-08,Styling Gel,Product,Styling,23.11,69.33,Styling Mousse,New,
Cust0157,Item0002,1,2023-11-09,Haircut (Men's),Service,Haircut,55.97,55.97,Hair Treatment (Keratin),New,Emp07
Cust0492,Item0027,3,2023-04-19,Hair Mask,Product,Treatment Products,35.16,105.47999999999999,Texturizing Spray,Occasional,
Cust0136,Item0006,1,2023-05-03,Highlights,Service,Coloring,61.07,61.07,Makeup Application,Occasional,Emp04
Cust0089,Item0006,1,2023-01-02,Highlights,Service,Coloring,63.47,63.47,Haircut (Men's),New,Emp10
Cust0210,Item0020,1,2023-08-29,Waxing (Bikini),Service,Waxing,42.8,42.8,Waxing (Legs),Regular,Emp05
Cust0150,Item0010,1,2023-12-28,Hair Styling (Updo),Service,Styling,102.96,102.96,Relaxer,Regular,Emp08
Cust0145,Item0035,1,2023-12-18,Makeup Remover,Product,Makeup,42.28,42.28,Toner,Occasional,
Cust0120,Item0039,3,2023-04-12,Toner,Product,Skincare,31.43,94.28999999999999,Heat Protectant Spray,New,
